epoch,train_loss,val_loss,train_acc,val_acc,iteration,mid_layer,dropout,dataset,network,lr
43,2.1848697662353516,2.205394983291626,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
44,2.1831295490264893,2.205345392227173,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
45,2.1815545558929443,2.2052860260009766,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
46,2.180130958557129,2.2051820755004883,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
47,2.1788523197174072,2.205125570297241,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
48,2.1776952743530273,2.204960823059082,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
49,2.1766512393951416,2.204707145690918,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
50,2.175710678100586,2.2043933868408203,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
51,2.174832820892334,2.2040460109710693,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
52,2.1740245819091797,2.203665256500244,0.265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
53,2.173266649246216,2.203336715698242,0.265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
54,2.172616481781006,2.2030386924743652,0.265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
55,2.1719820499420166,2.202772855758667,0.265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
56,2.17138671875,2.2028048038482666,0.265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
57,2.1708412170410156,2.2027363777160645,0.265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
58,2.1703786849975586,2.202540397644043,0.265625,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
59,2.1699461936950684,2.202237606048584,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
60,2.1695330142974854,2.2018368244171143,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
61,2.169123649597168,2.2013628482818604,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
62,2.1687543392181396,2.201080560684204,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
63,2.168353319168091,2.2009873390197754,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
64,2.167938232421875,2.200881242752075,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
65,2.1676318645477295,2.2007431983947754,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
66,2.1673169136047363,2.2007193565368652,0.265625,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
67,2.1669914722442627,2.2006311416625977,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
68,2.166656255722046,2.2004740238189697,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
69,2.1663193702697754,2.2002480030059814,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
70,2.165987253189087,2.1999621391296387,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
71,2.1656646728515625,2.199652910232544,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
72,2.1653060913085938,2.1993567943573,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
73,2.164921522140503,2.1992342472076416,0.265625,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
74,2.1645090579986572,2.199106454849243,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
75,2.1641056537628174,2.1988682746887207,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
76,2.163717269897461,2.1985292434692383,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
77,2.163280963897705,2.1981544494628906,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
78,2.1628365516662598,2.1978516578674316,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
79,2.162330389022827,2.1975133419036865,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
80,2.1618213653564453,2.1971452236175537,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
81,2.1612632274627686,2.1967763900756836,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
82,2.1606757640838623,2.196399688720703,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
83,2.1600687503814697,2.1960108280181885,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
84,2.15946364402771,2.1956560611724854,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
85,2.158869981765747,2.195333480834961,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
86,2.1582818031311035,2.195129632949829,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
87,2.1577553749084473,2.194969415664673,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
88,2.157172918319702,2.194741725921631,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
89,2.156679630279541,2.1944544315338135,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
90,2.156219959259033,2.194145679473877,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
91,2.155759811401367,2.193864107131958,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
92,2.1553237438201904,2.1935276985168457,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
93,2.154958724975586,2.193598508834839,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
94,2.1545560359954834,2.193573236465454,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
95,2.1542210578918457,2.1934523582458496,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
96,2.1539480686187744,2.193256139755249,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
97,2.153590679168701,2.1930196285247803,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
98,2.153323173522949,2.192845582962036,0.2734375,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
99,2.153043746948242,2.192812204360962,0.2734375,0.23,0,2,0.0,mnist,multiclass_mlp,0.001
