epoch,train_loss,val_loss,train_acc,val_acc,iteration,mid_layer,dropout,dataset,network,lr
46,1.6066203117370605,1.981371283531189,0.9921875,0.6900000000000001,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
47,1.5942442417144775,1.976709008216858,0.9921875,0.6900000000000001,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
48,1.5820740461349487,1.9718974828720093,0.9921875,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
49,1.5699692964553833,1.966654658317566,0.9921875,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
50,1.5579771995544434,1.960851788520813,0.9921875,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
51,1.5462473630905151,1.9543402194976807,0.9921875,0.72,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
52,1.5352368354797363,1.947331190109253,0.9921875,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
53,1.5252902507781982,1.9397060871124268,0.9921875,0.7000000000000001,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
54,1.516541838645935,1.9309473037719727,0.9921875,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
55,1.5091930627822876,1.9211233854293823,0.9921875,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
56,1.5031659603118896,1.9098683595657349,1.0,0.72,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
57,1.4980335235595703,1.8978577852249146,1.0,0.72,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
58,1.4936387538909912,1.8857557773590088,1.0,0.72,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
59,1.4896817207336426,1.8739105463027954,1.0,0.72,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
60,1.4860039949417114,1.862917423248291,1.0,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
61,1.4826372861862183,1.8529350757598877,1.0,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
62,1.4797555208206177,1.84405517578125,1.0,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
63,1.4773739576339722,1.8363078832626343,1.0,0.71,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
64,1.4753986597061157,1.8294737339019775,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
65,1.4737389087677002,1.8232755661010742,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
66,1.4723522663116455,1.8173298835754395,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
67,1.47118079662323,1.8115214109420776,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
68,1.470197319984436,1.805971384048462,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
69,1.469354271888733,1.8007222414016724,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
70,1.468625545501709,1.795935869216919,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
71,1.4679975509643555,1.791627049446106,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
72,1.4674566984176636,1.7878036499023438,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
73,1.4669872522354126,1.784407377243042,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
74,1.4665727615356445,1.7814629077911377,1.0,0.76,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
75,1.4662034511566162,1.7789677381515503,1.0,0.76,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
76,1.4658721685409546,1.7768058776855469,1.0,0.76,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
77,1.465575098991394,1.77498197555542,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
78,1.4653065204620361,1.7734107971191406,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
79,1.465065360069275,1.7720630168914795,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
80,1.4648464918136597,1.7708702087402344,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
81,1.4646474123001099,1.7698420286178589,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
82,1.46446692943573,1.7689049243927002,1.0,0.75,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
83,1.4643025398254395,1.768091082572937,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
84,1.4641534090042114,1.7673699855804443,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
85,1.4640178680419922,1.766734004020691,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
86,1.4638949632644653,1.766181468963623,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
87,1.4637832641601562,1.765715479850769,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
88,1.463681697845459,1.7653063535690308,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
89,1.463588833808899,1.7649357318878174,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
90,1.4635040760040283,1.7645950317382812,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
91,1.4634257555007935,1.7642817497253418,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
92,1.4633535146713257,1.763988971710205,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
93,1.463286280632019,1.7637147903442383,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
94,1.4632235765457153,1.7634646892547607,1.0,0.74,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
95,1.4631651639938354,1.7632336616516113,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
96,1.4631104469299316,1.7630066871643066,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
97,1.4630590677261353,1.7628109455108643,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
98,1.4630106687545776,1.7626352310180664,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
99,1.462965488433838,1.7624690532684326,1.0,0.73,0,29,0.0,mnist,multiclass_cnn_mlp,0.001
0,2.3120076656341553,2.3023319244384766,0.0625,0.09,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
1,2.293958902359009,2.3019208908081055,0.1484375,0.08,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
2,2.2757532596588135,2.3014934062957764,0.203125,0.09,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
3,2.257740020751953,2.3010408878326416,0.2578125,0.12,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
4,2.239926815032959,2.300577402114868,0.3125,0.16,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
5,2.222517728805542,2.29990816116333,0.34375,0.21,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
6,2.2051870822906494,2.299104690551758,0.3515625,0.22,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
7,2.187905788421631,2.298168659210205,0.375,0.29,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
8,2.170701503753662,2.2969961166381836,0.4140625,0.36,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
9,2.1532864570617676,2.2954964637756348,0.4609375,0.38,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
10,2.135495185852051,2.293572187423706,0.46875,0.39,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
11,2.117016553878784,2.2912094593048096,0.5078125,0.38,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
12,2.098402738571167,2.288374900817871,0.53125,0.37,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
13,2.078840970993042,2.2849483489990234,0.5546875,0.37,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
14,2.0585601329803467,2.2808878421783447,0.5625,0.39,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
15,2.0378737449645996,2.275836944580078,0.59375,0.41000000000000003,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
16,2.0173823833465576,2.269432306289673,0.59375,0.41000000000000003,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
17,1.9973548650741577,2.2615649700164795,0.6015625,0.42,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
18,1.9779157638549805,2.2520194053649902,0.6015625,0.42,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
19,1.9590355157852173,2.2408578395843506,0.6015625,0.44,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
20,1.940869688987732,2.2281551361083984,0.609375,0.44,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
21,1.923261046409607,2.213937282562256,0.6171875,0.47000000000000003,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
22,1.90593421459198,2.1985933780670166,0.640625,0.48,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
23,1.8890914916992188,2.182269811630249,0.65625,0.49,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
24,1.87240731716156,2.165189743041992,0.671875,0.48,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
25,1.8564120531082153,2.1478679180145264,0.671875,0.48,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
26,1.841464638710022,2.130122423171997,0.6796875,0.48,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
27,1.828061580657959,2.112016201019287,0.6953125,0.48,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
28,1.8165398836135864,2.094451665878296,0.6953125,0.47000000000000003,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
29,1.8061153888702393,2.0780205726623535,0.7109375,0.48,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
30,1.796515941619873,2.062868356704712,0.7265625,0.49,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
31,1.7877081632614136,2.0492067337036133,0.7265625,0.51,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
32,1.7794560194015503,2.0375754833221436,0.7265625,0.52,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
33,1.771705150604248,2.0274033546447754,0.7265625,0.52,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
34,1.7643153667449951,2.019014835357666,0.7265625,0.53,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
35,1.7570960521697998,2.0124008655548096,0.7265625,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
36,1.7500042915344238,2.006803512573242,0.734375,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
37,1.742927074432373,2.0024502277374268,0.75,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
38,1.7356711626052856,1.9989943504333496,0.75,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
39,1.7281187772750854,1.996179223060608,0.7578125,0.53,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
40,1.7203261852264404,1.9938126802444458,0.765625,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
41,1.7125886678695679,1.9913345575332642,0.78125,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
42,1.704925537109375,1.9882595539093018,0.7890625,0.53,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
43,1.697298288345337,1.984613299369812,0.7890625,0.53,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
44,1.6895557641983032,1.9804173707962036,0.7890625,0.54,1,29,0.0,mnist,multiclass_cnn_mlp,0.001
